problem_id,method,backend,status,message,cost_final,dist_to_opt,cost_gap,grad_norm_final,n_iter,n_feval,n_jeval,n_heval
logistic,trf,scipy,CONVERGED,`ftol` termination condition is satisfied.,1.647893137187195,6.756510318722945e-07,1.3862244685469705e-12,3.024112489015714e-05,7,7,7,0
logistic,dogbox,scipy,CONVERGED,`ftol` termination condition is satisfied.,1.647893137187195,6.756510333572152e-07,1.3862244685469705e-12,3.024112489015714e-05,7,7,7,0
logistic,BFGS,scipy,CONVERGED,Optimization terminated successfully.,1.6478931371858854,6.040273972029977e-08,7.66053886991358e-14,8.204335767787627e-06,14,17,17,0
logistic,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.6478931371858219,1.961170028866411e-08,1.3100631690576847e-14,8.714587101886649e-07,27,33,33,0
logistic,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,1.6478931371858274,4.154331366808629e-08,1.865174681370263e-14,1.4000508538599861e-05,12,13,13,12
logistic,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,1.6478931371858336,3.7445077705272094e-08,2.4868995751603507e-14,3.2066294882238476e-11,7,8,8,8
logistic,trust-constr,scipy,CONVERGED,`gtol` termination condition is satisfied.,1.6478931371858034,3.627804183907121e-08,-5.329070518200751e-15,2.618239047224309e-09,14,14,14,14
logistic,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,1.6478931371882868,1.2564361492051807e-06,2.4780177909633494e-12,3.9749959237906966e-06,12,13,13,12
michaelis_menten,lm,trust-apl,CONVERGED,,0.02047928872618599,1.603240474642266e-07,-4.014150123410332e-15,4.415514581783522e-09,6,8,8,0
michaelis_menten,BFGS,trust-apl,CONVERGED,,0.02047928872618603,1.4911071844620153e-07,-3.975986206938842e-15,4.349186815595845e-08,16,18,18,0
michaelis_menten,trust-exact,trust-apl,CONVERGED,,0.02047928872618597,1.7170717938918623e-07,-4.034966805122053e-15,2.209417396423815e-15,9,11,11,11
michaelis_menten,lm,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.020479288726190013,4.440892098500626e-16,6.938893903907228e-18,6.660873444386807e-08,6,6,5,0
michaelis_menten,trf,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.020479288726190006,0.0,0.0,6.66087335313638e-08,6,6,6,0
michaelis_menten,dogbox,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.020479288726190006,0.0,0.0,6.66087335313638e-08,6,6,6,0
michaelis_menten,BFGS,scipy,CONVERGED,Optimization terminated successfully.,0.02047928873764183,2.4185170154342905e-06,1.145182559891822e-11,1.1381970864805303e-05,12,13,13,0
michaelis_menten,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0204792887267468,2.2314252425892133e-06,5.567941940842758e-13,5.979100719885233e-07,12,13,13,0
michaelis_menten,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,0.020479288726186946,8.497001358901057e-08,-3.0600522116230877e-15,6.170546208925213e-08,10,12,12,10
michaelis_menten,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,0.020479288735095944,7.24191339027212e-06,8.905938486680753e-12,4.944417774341131e-06,7,8,8,8
michaelis_menten,trust-constr,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.02047928872618587,1.7170717656194444e-07,-4.135580766728708e-15,1.6508334430277032e-15,10,10,10,10
michaelis_menten,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,0.020479288826036553,2.4686192101345384e-05,9.984654769645829e-11,1.6460097655867268e-05,8,9,9,8
gaussian_peak,lm,trust-apl,CONVERGED,,0.02867791932839102,4.6896672862673626e-11,4.163336342344337e-17,9.943644213007715e-09,11,13,13,0
gaussian_peak,BFGS,trust-apl,CONVERGED,,0.02867791932839107,2.6033486630492723e-10,9.367506770274758e-17,2.972776083838969e-09,19,21,21,0
gaussian_peak,trust-exact,trust-apl,CONVERGED,,0.0286779193283909,2.2545920642835544e-10,-7.632783294297951e-17,9.438440450955596e-13,10,12,12,12
gaussian_peak,lm,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.02867791932839417,2.2608858260503132e-08,3.191891195797325e-15,9.06136083951106e-07,10,10,7,0
gaussian_peak,trf,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.028677919328395314,2.6125136140845314e-08,4.336808689942018e-15,1.0659907620466567e-06,9,9,8,0
gaussian_peak,dogbox,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.02867791932839181,1.1897745391823373e-08,8.326672684688674e-16,4.7233494517709324e-07,12,12,10,0
gaussian_peak,BFGS,scipy,CONVERGED,Optimization terminated successfully.,0.028677919328396657,2.5364359061196162e-08,5.6794846603480664e-15,1.084866636102918e-06,11,13,13,0
gaussian_peak,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.028677919328446756,9.308425280754206e-08,5.5778298646558255e-14,3.723983835907895e-06,13,14,14,0
gaussian_peak,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,0.02867791932839104,2.255321708617613e-10,6.245004513516506e-17,1.0258612214408786e-07,9,12,12,9
gaussian_peak,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,0.028677919328391546,1.4801561400606846e-08,5.689893001203927e-16,1.0867491252174217e-07,5,6,6,6
gaussian_peak,trust-constr,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.028677919328391036,2.2438198868461047e-10,5.898059818321144e-17,4.120145135454483e-11,11,11,10,10
gaussian_peak,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,0.02867791932839127,1.1606644701807785e-08,2.914335439641036e-16,5.7509211786632087e-08,6,7,7,6
